T,TM,Tm,SLP,H,VV,V,VM,PM 2.5

7.4,9.8,4.8,1017.6,93.0,0.5,4.3,9.4,219.72083333333333

7.8,12.7,4.4,1018.5,87.0,0.6,4.4,11.1,182.1875

6.7,13.4,2.4,1019.4,82.0,0.6,4.8,11.1,154.03750000000005

8.6,15.5,3.3,1018.7,72.0,0.8,8.1,20.6,223.20833333333331

12.4,20.9,4.4,1017.3,61.0,1.3,8.7,22.2,200.64583333333337

16.0,25.2,10.0,1013.2,79.0,0.6,4.8,11.1,285.225

13.4,21.0,9.2,1015.1,87.0,0.5,1.5,7.6,236.825

14.3,22.6,6.6,1016.3,76.0,0.8,0.4,3.5,276.90833333333336

12.7,18.9,7.3,1021.2,76.0,1.8,6.1,16.5,108.0

11.9,18.9,6.3,1020.1,76.0,1.1,8.3,20.6,107.625

12.2,19.9,6.2,1021.0,69.0,2.1,4.4,18.3,125.89166666666668

13.4,21.1,5.6,1020.0,60.0,1.9,8.0,22.2,181.01250000000005

12.3,21.4,6.4,1019.6,70.0,1.9,6.7,14.8,152.55416666666667

13.7,22.0,7.0,1018.2,63.0,1.8,7.2,18.3,152.32083333333338

14.9,21.9,7.1,1018.3,73.0,0.6,2.0,7.6,319.7375

15.0,24.0,7.6,1017.4,81.0,0.6,2.2,7.6,332.7083333333333

16.3,24.0,12.0,1017.2,80.0,0.8,1.3,9.4,279.6

18.7,26.3,9.5,1015.3,64.0,1.6,1.7,7.6,179.11666666666667

14.6,21.6,9.4,1018.4,72.0,2.7,9.4,18.3,54.79166666666666

14.7,21.7,8.4,1017.1,71.0,1.8,10.9,22.2,93.375

14.8,22.6,8.5,1016.8,67.0,2.1,9.3,18.3,103.0

17.4,25.4,10.3,1015.8,63.0,1.9,6.7,14.8,132.20833333333334

18.1,26.7,10.2,1013.8,61.0,2.6,5.0,11.1,127.70833333333331

18.3,23.2,12.7,1011.2,75.0,1.9,10.0,22.2,109.33333333333331

16.4,22.0,11.2,1015.5,81.0,1.6,5.9,18.3,56.45833333333334

16.9,23.5,10.1,1016.8,80.0,1.3,5.2,22.2,135.83333333333334

19.3,26.9,12.1,1015.6,74.0,1.6,5.9,11.1,122.5

17.2,24.2,10.8,1018.3,74.0,2.6,4.6,14.8,69.66666666666667

17.7,26.5,9.8,1015.3,73.0,1.4,4.8,14.8,79.83333333333333

20.4,28.4,15.2,1014.7,62.0,2.4,5.0,14.8,62.70833333333334

18.2,26.1,12.2,1016.3,54.0,1.9,24.4,33.5,21.20833333333333

19.0,26.8,11.7,1016.3,58.0,2.6,16.7,29.4,1.9166666666666667

18.7,27.8,13.3,1016.2,69.0,2.4,7.4,25.9,1.8333333333333333

22.6,30.6,15.7,1015.4,62.0,2.6,8.1,20.6,105.83333333333331

22.5,31.8,13.7,1014.6,57.0,2.3,5.9,14.8,117.58333333333331

24.0,33.8,13.6,1009.7,53.0,1.9,4.6,18.3,122.70833333333331

23.8,33.0,14.9,1010.4,64.0,1.9,3.9,11.1,111.95833333333331

22.6,33.0,18.1,1013.1,67.0,2.1,11.3,22.2,59.20833333333334

23.0,30.0,14.4,1016.1,55.0,2.7,6.7,14.8,77.20833333333333

24.6,31.7,17.9,1008.5,68.0,2.3,14.1,27.8,98.70833333333331

27.1,34.8,17.7,1009.7,52.0,1.6,6.1,11.1,123.70833333333331

26.1,34.8,17.9,1008.8,54.0,2.6,11.9,18.3,64.79166666666667

23.6,34.3,17.7,1010.4,51.0,2.6,15.9,22.2,52.33333333333334

23.2,29.6,16.7,1008.6,54.0,1.9,13.1,22.2,52.04166666666666

23.8,30.9,16.7,1009.0,52.0,1.6,6.5,13.0,128.33333333333334

24.7,31.5,17.0,1008.6,57.0,2.1,7.6,14.8,0.0

25.6,33.8,17.9,1008.7,47.0,2.1,4.4,13.0,23.20833333333333

25.7,36.0,17.8,1009.0,50.0,1.8,9.3,14.8,15.166666666666664

25.1,36.0,18.3,1009.5,56.0,2.7,9.1,18.3,21.25

29.5,37.0,18.5,1005.2,30.0,1.9,10.6,22.2,81.83333333333333

29.2,37.5,20.0,1006.1,38.0,2.6,5.9,14.8,105.33333333333331

31.1,37.8,21.7,1005.6,34.0,1.8,8.1,27.8,117.75

29.8,36.6,21.4,1007.8,37.0,1.9,8.1,18.3,84.5

28.2,36.6,21.9,1007.1,45.0,1.9,6.5,16.5,46.91666666666666

28.3,36.4,20.1,1004.0,47.0,1.9,6.3,14.8,104.625

29.3,37.9,20.3,1002.9,35.0,2.3,4.4,11.1,110.875

30.5,38.6,20.7,1003.4,36.0,1.9,7.6,14.8,42.95833333333334

28.0,38.6,23.8,1007.3,48.0,2.3,15.6,25.9,0.0

31.1,38.5,23.2,1007.7,45.0,1.9,3.7,7.6,120.875

29.9,38.5,24.3,1008.3,53.0,1.9,6.7,22.2,79.91666666666667

31.4,37.8,22.0,1006.9,38.0,2.3,13.7,22.2,0.0

31.4,39.2,22.8,1002.9,24.0,1.9,11.5,25.9,94.75

29.9,38.8,21.7,1000.8,29.0,1.9,12.0,24.1,142.5

29.7,38.3,21.6,999.3,35.0,1.9,10.2,22.2,133.375

32.8,40.8,25.3,1002.0,36.0,1.8,7.2,24.1,147.83333333333334

34.1,42.0,23.7,1001.4,29.0,1.9,9.3,18.3,158.29166666666666

34.1,42.0,26.8,1000.8,32.0,1.9,7.8,14.8,149.58333333333334

30.9,37.6,23.2,1003.7,44.0,1.9,3.5,11.1,101.5

32.9,39.8,24.7,1001.0,38.0,1.9,5.6,13.0,106.5

30.6,37.4,24.8,1000.8,47.0,1.9,2.2,7.6,128.125

36.2,44.6,25.9,999.2,29.0,1.9,15.0,27.8,101.95833333333331

36.2,44.6,29.2,999.1,32.0,1.9,10.6,18.3,98.41666666666669

36.8,45.1,28.0,999.1,26.0,1.9,12.0,25.9,94.375

37.7,45.0,30.5,998.1,32.0,1.9,10.0,22.2,107.625

36.2,43.6,29.3,998.4,32.0,2.3,8.1,20.6,110.41666666666669

35.6,42.6,30.2,999.3,41.0,1.9,8.1,20.6,95.83333333333331

33.6,40.6,24.8,998.8,47.0,1.9,10.6,18.3,72.25

31.9,40.6,26.7,1002.0,61.0,1.9,13.5,20.6,38.66666666666666

32.4,38.5,26.6,1001.0,63.0,2.3,13.3,22.2,45.375

