T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
14.9,21.6,8.8,1017.4,76,0.8,0.9,7.6,172.75
14.7,21.6,10.2,1018.1,97,0.6,3.1,9.4,146.79166666666666
15,16.8,13.6,1017.5,94,0.5,0.9,7.6,113.875
9.8,17.6,6.4,1016.6,90,0.5,3.9,11.1,227.0
10.1,14.5,7.2,1019.2,90,0.3,3.3,7.6,231.25
10.5,16.3,6.8,1020.1,84,0.5,1.5,5.4,272.125
12.3,18.3,4,1017.1,81,0.5,4.8,9.4,228.79166666666666
12.1,18.3,9,1017.5,86,0.6,5.2,9.4,200.875
12.3,19,5.8,1019.3,82,0.5,0.9,7.6,214.04166666666666
13.9,21.6,9.4,1019,79,1,1.9,14.8,217.25
13.4,20.7,9.8,1020.1,80,0.8,7.2,11.1,212.45833333333334
13.3,17.5,9.5,1021.2,79,0.8,3.7,7.6,202.66666666666666
13.1,18.3,8.5,1020.6,80,0.8,4.1,14.8,138.79166666666666
13.7,18.3,11.6,1019.9,91,0.6,0.9,7.6,153.08333333333334
13.3,18.4,9.8,1019.3,79,1,5.2,14.8,159.70833333333334
13.8,21.5,7.2,1018,60,2.4,9.1,24.1,151.875
15.1,24,6.7,1017.6,66,1.3,5,11.1,224.79166666666666
17.3,23.8,10.4,1017.5,70,1,11.9,18.3,177.625
16.7,23.8,13,1020.7,75,0.8,7.2,14.8,149.625
15.7,25.6,7.4,1016.9,68,1.4,1.9,7.6,161.16666666666666
16.7,25.6,9.3,1017.5,66,1.4,4.4,13,136.75
16.9,25.5,10.5,1019.9,65,2.3,5.6,22.2,50.916666666666664
17.2,25.5,9.3,1012.8,61,2.4,6.7,20.6,120.20833333333333
19.3,28.6,10.6,1009.5,65,2.6,4.3,14.8,137.125
18.9,28.6,11.2,1012.8,73,0.8,1.5,7.6,197.08333333333334
22.9,29.3,17,1012.4,78,1.6,7.6,14.8,166.375
22.8,29.3,18,1013.7,72,1.9,7.2,14.8,126.58333333333333
21.9,29.1,15.2,1014.1,69,2.3,11.3,18.3,94.91666666666667
23.2,28.6,18.4,1008.5,65,1.4,6.5,13,133.95833333333334
20,27.6,14.5,1009.8,42,1.9,6.7,11.1,69.25
19.2,27.6,11.1,1013,49,2.6,5.7,11.1,79.29166666666667
17.3,19,15.2,1011,94,1.8,14.8,24.1,31.625
17.4,22.1,14.6,1012.6,92,1.9,6.7,16.5,20.416666666666668
16.1,22.1,12.8,1013.8,84,1.8,5.6,13,61.125
18.6,27.3,12.5,1014,79,2.6,3.9,13,49.583333333333336
19.4,27.6,14,1015.2,79,2.3,7.8,18.3,34.916666666666664
18.1,24.1,13.3,1021.1,60,2.7,12.2,20.6,47.5
