Date	AAPL	BA	T	MGM	AMZN	IBM	TSLA	GOOG	sp500
1/12/2012	60.19857	75.510002	30.120001	12.13	175.929993	180.550003	28.25	313.644379	1295.5
1/13/2012	59.972858	74.599998	30.07	12.35	178.419998	179.160004	22.790001	311.328064	1289.089966
1/17/2012	60.671429	75.239998	30.25	12.25	181.660004	180	26.6	313.116364	1293.670044
1/18/2012	61.30143	75.059998	30.33	12.73	189.440002	181.070007	26.809999	315.273285	1308.040039
1/19/2012	61.107143	75.559998	30.42	12.8	194.449997	180.520004	26.76	318.590851	1314.5
1/20/2012	60.042858	75.519997	30.51	12.64	190.929993	188.520004	26.6	291.900879	1315.380005
1/23/2012	61.058571	75.510002	30.4	13.14	186.089996	189.979996	26.77	291.666748	1316
1/24/2012	60.058571	75.360001	30.09	13.16	187	191.929993	27.42	289.380341	1314.650024
1/25/2012	63.808571	75.82	30.209999	13.11	187.800003	191.729996	27.969999	283.681702	1326.060059
1/26/2012	63.51857	75.309998	29.450001	13.05	193.320007	190.979996	28.940001	282.989288	1318.430054
1/27/2012	63.897144	74.550003	29.16	13.19	195.369995	190.460007	29.33	288.907104	1316.329956
1/30/2012	64.715714	74.160004	29.34	13.15	192.149994	192.5	29.57	287.766388	1313.01001
1/31/2012	65.211426	74.18	29.41	13.05	194.440002	192.600006	29.07	288.971863	1312.410034
2/1/2012	65.169998	75.370003	29.6	13.7	179.460007	192.619995	29.58	289.330505	1324.089966
2/2/2012	65.017143	75.220001	29.790001	13.9	181.720001	191.529999	30.25	291.462524	1325.540039
2/3/2012	65.668571	76.339996	29.950001	14.37	187.679993	193.639999	31.15	297.051575	1344.900024
2/6/2012	66.281425	75.459999	29.969999	14.02	183.139999	192.820007	31.799999	303.407745	1344.329956
2/7/2012	66.975716	75.199997	30.040001	13.96	184.190002	193.350006	31.6	302.252075	1347.050049
2/8/2012	68.097145	75.459999	30.02	14.27	185.479996	192.949997	31.93	303.786346	1349.959961
2/9/2012	70.452858	75.900002	29.99	14.47	184.979996	193.130005	32.580002	304.588318	1351.949951
2/10/2012	70.488571	74.949997	29.84	14.63	185.539993	192.419998	31.1	301.8237	1342.640015
2/13/2012	71.800003	74.849998	30.040001	14.58	191.589996	192.619995	31.49	304.95694	1351.77002
2/14/2012	72.779999	75.559998	30.07	14.5	191.300003	192.220001	33.169998	303.741516	1350.5
2/15/2012	71.095711	75.209999	29.870001	14.51	184.470001	192.25	33.599998	301.649353	1343.22998
2/16/2012	71.744286	75.269997	30.02	14.74	179.929993	193.020004	34.18	302.127563	1358.040039
2/17/2012	71.73143	75.349998	30.01	14.66	182.5	193.419998	34.970001	301.191071	1361.22998
2/21/2012	73.550003	75.720001	30.34	14.19	182.259995	193.389999	34.5	305.853577	1362.209961
2/22/2012	73.291428	76.059998	30.280001	13.77	180.580002	193.869995	34.220001	302.8349	1357.660034
2/23/2012	73.769997	75.849998	30.459999	14.27	178.889999	197.610001	34.529999	301.923309	1363.459961
2/24/2012	74.629997	76.059998	30.34	14	179.130005	197.759995	33.75	303.811249	1365.73999
2/27/2012	75.108574	75.209999	30.360001	13.67	178.529999	197.529999	33.619999	303.517334	1367.589966
2/28/2012	76.487144	75.160004	30.530001	14.03	183.800003	197.979996	33.810001	308.040375	1372.180054
2/29/2012	77.491432	74.949997	30.59	13.77	179.690002	196.729996	33.41	307.970642	1365.680054
3/1/2012	77.781425	75.080002	30.629999	13.93	180.039993	197.529999	34.41	310.037903	1374.089966
3/2/2012	77.882858	74.900002	30.870001	13.84	179.300003	198.809998	34.040001	309.465057	1369.630005
3/5/2012	76.165718	74.129997	30.99	13.44	180.259995	200.660004	33.77	305.978119	1364.329956
3/6/2012	75.751427	72.559998	30.73	13.08	181.089996	197.259995	33.110001	301.350464	1343.359985
3/7/2012	75.812859	73.519997	30.879999	13.41	183.770004	197.770004	33.119999	302.267029	1352.630005
3/8/2012	77.427139	74.169998	31	13.8	187.639999	199.809998	33.07	302.436401	1365.910034
3/9/2012	77.881432	73.290001	31.18	13.71	184.320007	200.619995	34.740002	299.004272	1370.869995
3/12/2012	78.85714	73.599998	31.440001	13.54	183.389999	201	36.009998	301.445099	1371.089966
3/13/2012	81.157143	74.309998	31.629999	14.39	184.589996	203.779999	36.09	307.736542	1395.949951
3/14/2012	84.225716	75.230003	31.450001	14.12	182.259995	204.720001	35.290001	306.844879	1394.280029
3/15/2012	83.651428	75.43	31.639999	14.71	184.429993	206	35	309.405273	1402.599976
3/16/2012	83.652855	75.199997	31.59	14.42	185.050003	206.009995	35.32	311.352966	1404.170044
3/19/2012	85.871429	75.400002	31.65	14.45	185.520004	205.720001	34.98	315.806274	1409.75
3/20/2012	86.565712	75.139999	31.790001	14.27	192.330002	204.25	34.959999	315.562195	1405.52002
3/21/2012	86.071426	75.010002	31.84	14.28	191.729996	204.690002	35.150002	318.795074	1402.890015
3/22/2012	85.620003	73.919998	31.709999	14.1	192.399994	205.490005	34.400002	321.818756	1392.780029
3/23/2012	85.150002	73.970001	31.52	14.2	195.039993	205.479996	34.080002	320.095215	1397.109985
3/26/2012	86.711426	75.18	31.790001	14.54	202.869995	207.770004	37.400002	323.452606	1416.51001
3/27/2012	87.78286	74.809998	31.639999	14.5	205.440002	207.179993	37.939999	322.301941	1412.52002
3/28/2012	88.23143	74.330002	31.360001	14.02	201.160004	207.289993	37.849998	326.655609	1405.540039
3/29/2012	87.122856	74.080002	31.209999	13.85	204.610001	208.270004	37.330002	322.994324	1403.280029
3/30/2012	85.650002	74.370003	31.23	13.62	202.509995	208.649994	37.240002	319.422729	1408.469971
4/2/2012	88.375717	75.169998	31.450001	13.72	198.050003	209.470001	36.580002	322.252106	1419.040039
4/3/2012	89.902855	74.650002	31.43	13.93	199.660004	209.5	38.009998	320.110138	1413.380005
4/4/2012	89.187141	73.669998	31.57	13.55	193.990005	206.050003	35	316.389099	1398.959961
4/5/2012	90.525711	73.589996	30.940001	13.6	194.389999	205.470001	34.48	314.97937	1398.079956
4/9/2012	90.889999	72.43	30.639999	13.51	191.869995	204.940002	33.150002	314.242157	1382.199951
4/10/2012	89.777145	70.599998	30.129999	13.07	186.979996	202.330002	32.459999	312.259583	1358.589966
4/11/2012	89.457146	71.769997	30.450001	13.6	187.970001	202.580002	33.09	316.792572	1368.709961
4/12/2012	88.96714	73.5	30.84	13.86	190.690002	205.320007	33.439999	324.28949	1387.569946
4/13/2012	86.461426	72.919998	30.540001	13.92	188.460007	202.800003	33.59	311.133789	1370.26001
4/16/2012	82.875717	72.68	30.610001	13.72	185.5	202.720001	32.25	301.903381	1369.569946
4/17/2012	87.099998	74.089996	30.889999	13.81	188.389999	207.449997	32.240002	303.646851	1390.780029
4/18/2012	86.905716	73.709999	30.75	13.75	191.070007	200.130005	32.66	302.59082	1385.140015
4/19/2012	83.919998	73.099998	30.74	13.77	191.100006	199.509995	33.16	298.531036	1376.920044
4/20/2012	81.854286	73.550003	30.860001	13.52	189.979996	199.600006	33.16	296.917084	1378.530029
4/23/2012	81.671425	72.860001	30.610001	13.12	188.240005	198.619995	31.940001	297.684204	1366.939941
4/24/2012	80.040001	73.209999	31.719999	13.06	190.330002	200	31.82	299.51236	1371.969971
4/25/2012	87.14286	77.080002	31.74	13.35	194.419998	203.570007	32.91	303.721588	1390.689941
4/26/2012	86.814285	76.989998	32.439999	13.78	195.990005	205.580002	33.490002	306.585846	1399.97998
4/27/2012	86.14286	77.269997	32.669998	13.78	226.850006	206.809998	33.34	306.341766	1403.359985
4/30/2012	83.425713	76.800003	32.91	13.42	231.899994	207.080002	33.130001	301.295685	1397.910034
5/1/2012	83.16143	77.25	33.060001	13.29	230.039993	208	33.779999	301.086456	1405.819946
5/2/2012	83.711426	77.260002	33.040001	13.55	230.25	208.059998	33.939999	302.496185	1402.310059
5/3/2012	83.117142	76.830002	33.110001	12.92	229.449997	207.240005	32.459999	304.369141	1391.569946
5/4/2012	80.75	75.839996	32.860001	12.47	223.990005	204.990005	31.83	297.370392	1369.099976
5/7/2012	81.354286	75.959999	33	12.16	225.160004	203.75	32.470001	302.640625	1369.579956
5/8/2012	81.168571	75.400002	33.040001	11.81	223.899994	201.479996	30.190001	305.250854	1363.719971
5/9/2012	81.311432	74.050003	32.810001	11.65	222.979996	201.229996	30.059999	303.437653	1354.579956
5/10/2012	81.502853	73.800003	33.130001	11.66	226.690002	200.600006	32.959999	305.684235	1357.98999
5/11/2012	80.958572	73.559998	33.59	11.63	227.679993	201.169998	32.25	301.484955	1353.390015
5/14/2012	79.745712	73.120003	33.529999	11.14	222.929993	199.440002	30.059999	300.872253	1338.349976
5/15/2012	79.024284	72.580002	33.349998	11.01	224.389999	199.039993	29.43	304.413971	1330.660034
5/16/2012	78.011429	72.349998	33.189999	10.91	224.059998	199.729996	29.18	313.29071	1324.800049
5/17/2012	75.73143	69.730003	33.290001	10.4	218.360001	197.889999	28.57	310.361694	1304.859985
5/18/2012	75.76857	69.150002	33.66	10.33	213.850006	195.880005	27.559999	299.078979	1295.219971
5/21/2012	80.182854	71.779999	33.630001	10.87	218.110001	197.759995	28.77	305.908386	1315.98999
5/22/2012	79.567146	71.480003	33.540001	10.72	215.330002	196.820007	30.799999	299.278229	1316.630005
